x,y,coordIdx,temp_time,ts,time,id,posID,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,waterlevel,resTime,fpt,revisits
650380.634947505,5903057.1208394,1,2018-08-17T11:30:00Z,2018-08-17T11:31:22.866Z,1534505490,413,54747.5,650380.634947505,5903057.1208394,3,397.0255,4.923715,27.41165,21.3431073309407,14,1.38109999895096,103,15.6330155134201,3.54917593797048,2
650432.43134183,5903051.30009886,2,2018-08-17T11:40:00Z,2018-08-17T11:35:04.856Z,1534505700,413,54749.5,650432.43134183,5903051.30009886,3,394.227,3.976245,13.7767,20.6337189156546,14,5.08093333244324,102,12.2387452244759,12.2387452244759,1
650421.50574469,5903049.17203164,3,2018-08-17T11:40:00Z,2018-08-17T11:35:32.355Z,1534505730,413,54752,650421.50574469,5903049.17203164,3,344.006333333333,3.58558666666667,13.2535,19.3012850017564,14,5.53925000031789,102,13.083672161897,13.083672161897,1
650410.172613414,5903047.00264155,4,2018-08-17T11:40:00Z,2018-08-17T11:36:10.853Z,1534505760,413,54754.5,650410.172613414,5903047.00264155,3,284.7115,3.666865,12.53865,17.4911006775665,14,6.18088333209356,102,13.6557706872622,13.6557706872622,1
650419.13021819,5903049.02414155,5,2018-08-17T11:40:00Z,2018-08-17T11:36:36.352Z,1534505790,413,54756,650419.13021819,5903049.02414155,3,299.558,3.49264,11.7273,18.0694559962385,14,6.60586666663488,102,13.2340559999148,13.2340559999148,1
650425.704301638,5903046.71013389,6,2018-08-17T11:40:00Z,2018-08-17T11:37:31.349667Z,1534505850,413,54758,650425.704301638,5903046.71013389,3,275.437666666667,3.27525333333333,8.51805333333333,16.7329805515172,14,7.52249445120494,102,12.6595754981041,12.6595754981041,1
650422.11509155,5903049.32220398,7,2018-08-17T11:40:00Z,2018-08-17T11:38:40.847Z,1534505910,413,54760.5,650422.11509155,5903049.32220398,3,315.794,4.046565,11.06535,18.4870173391995,14,8.6807833313942,102,13.0504899024963,13.0504899024963,1
650419.126477173,5903047.48146813,8,2018-08-17T11:40:00Z,2018-08-17T11:38:45.346Z,1534505940,413,54762,650419.126477173,5903047.48146813,3,144.898,2.42227,5.09577,12.5503709108536,14,8.75576666593552,102,13.1431602835655,13.1431602835655,1
650421.606530192,5903045.63642041,9,2018-08-17T11:40:00Z,2018-08-17T11:39:15.345Z,1534505970,413,54763,650421.606530192,5903045.63642041,3,42.1282,2.05426,0.100382,6.66207355108002,14,9.25575000047684,102,12.8727567831675,12.8727567831675,1
650421.606530192,5903045.63642041,10,2018-08-17T11:40:00Z,2018-08-17T11:39:51.343500Z,1534506000,413,54764.5,650421.606530192,5903045.63642041,3,393.036,4.251985,13.2006,20.5538736892494,14,9.85572499831517,102,12.8727567831675,12.8727567831675,1
