x,y,coordIdx,temp_time,ts,time,id,posID,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,waterlevel,resTime,fpt,revisits
643948.406194172,5906751.69935038,1,2018-08-12T23:40:00Z,2018-08-12T23:41:04.446125Z,1534117260,413,3235.5,643948.406194172,5906751.69935038,4.25,137.076375,50.906925,76.323795,13.9302364507819,5,201.074102083842,-17,0.102155979474386,0.102155979474386,1
643746.590249791,5906855.70085251,2,2018-08-12T23:40:00Z,2018-08-12T23:41:32.278Z,1534117290,413,3244,643746.590249791,5906855.70085251,6.77777777777778,4.3502,3.38946333333333,2.78610111111111,3.62382421387085,5,201.537966668606,-17,0.167050234476725,0.167050234476725,1
643729.649170803,5907244.83914024,3,2018-08-12T23:40:00Z,2018-08-12T23:42:02.610111Z,1534117320,413,3253.88888888889,643729.649170803,5907244.83914024,6.55555555555556,12.7240533333333,9.29826777777778,9.85076555555556,6.02734524748695,5,202.043501849969,-17,0.156164467334747,0.156164467334747,1
643874.709887102,5907480.75213268,4,2018-08-12T23:40:00Z,2018-08-12T23:42:32.942111Z,1534117350,413,3264,643874.709887102,5907480.75213268,4.66666666666667,29.5003511111111,38.9199744444444,31.1499266666667,10.9762178499067,5,202.549035183589,-17,0.235774207115173,0.235774207115173,1
643840.26409581,5907331.13138823,5,2018-08-12T23:40:00Z,2018-08-12T23:42:59.565750Z,1534117380,413,3272.5,643840.26409581,5907331.13138823,4.25,94.61605625,62.2092775,59.84684625,14.4202762610123,5,202.992762498061,-17,0.804058726628622,0.804058726628622,1
643909.537488195,5906950.8494749,6,2018-08-12T23:50:00Z,2018-08-12T23:48:05.498857Z,1534117680,413,3280,643909.537488195,5906950.8494749,5.42857142857143,6.09181857142857,11.6472185714286,7.25978428571429,5.6138031024696,5,208.091647617022,-23,0.768268291155497,0.768268291155497,1
644035.707315123,5906798.94688787,7,2018-08-12T23:50:00Z,2018-08-12T23:48:31.259667Z,1534117710,413,3288,644035.707315123,5906798.94688787,6,4.98472333333333,9.16973444444444,5.45796555555556,4.99565117370421,5,208.520994448662,-23,0.222000130017598,0.222000130017598,1
644060.587885225,5906578.44923822,8,2018-08-12T23:50:00Z,2018-08-12T23:49:01.425200Z,1534117740,413,3297.5,644060.587885225,5906578.44923822,5.7,10.731931,13.30954,9.694759,6.05202621928514,5,209.023753333092,-23,0.232098793983459,0.232098793983459,1
643976.793767652,5906385.44837604,9,2018-08-12T23:50:00Z,2018-08-12T23:49:31.423800Z,1534117770,413,3307.5,643976.793767652,5906385.44837604,6.1,6.604504,4.969284,4.392478,4.34171050259913,5,209.52372999986,-23,0.232872247695923,0.232872247695923,1
643813.804082344,5906238.91743895,10,2018-08-12T23:50:00Z,2018-08-12T23:50:01.422500Z,1534117800,413,3317.5,643813.804082344,5906238.91743895,6.7,3.987927,3.569116,2.329595,3.44378524793477,5,210.023708331585,-23,0.203658572832743,0.203658572832743,1
