x,y,coordIdx,temp_time,ts,time,id,posID,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,waterlevel,resTime,fpt,revisits
650256.243303337,5904392.16719544,596,2018-08-16T04:50:00Z,2018-08-16T04:54:58.990250Z,1534395300,413,31907.5,650256.243303337,5904392.16719544,3,12.6077925,15.629805,9.140526375,5.75460969881538,11,384.983170835177,-122,82.3448631127675,54.4416077653567,3
650255.966315292,5904393.09654175,597,2018-08-16T05:00:00Z,2018-08-16T04:55:32.363714Z,1534395330,413,31915,650255.966315292,5904393.09654175,3,15.00116,20.0670242857143,10.7486042857143,6.59427530601342,11,385.539395232995,-117,82.4816279331843,54.4856582681338,3
650253.183736414,5904392.3059455,598,2018-08-16T05:00:00Z,2018-08-16T04:56:02.029Z,1534395360,413,31923,650253.183736414,5904392.3059455,3.22222222222222,10.0203566666667,14.1072177777778,4.49061377777778,5.42597811715689,11,386.033816667398,-117,83.5983623743057,56.4023234208425,3
650254.096259528,5904399.82545708,599,2018-08-16T05:00:00Z,2018-08-16T04:56:30.694444Z,1534395390,413,31932,650254.096259528,5904399.82545708,3.22222222222222,6.15584333333333,7.86039222222222,2.55539788888889,4.17697483178744,11,386.511574065685,-117,83.0395106991132,55.8822452108065,2
650253.757327371,5904401.3637136,600,2018-08-16T05:00:00Z,2018-08-16T04:57:01.692889Z,1534395420,413,31941,650253.757327371,5904401.3637136,3.11111111111111,13.6574011111111,20.23032,5.98333022222222,5.65161954638966,11,387.028214816252,-117,82.9847313523293,55.8717149178187,2
650252.820858886,5904401.75884311,601,2018-08-16T05:00:00Z,2018-08-16T04:57:30.858400Z,1534395450,413,31950.5,650252.820858886,5904401.75884311,3.1,12.533558,13.737435,6.2930101,5.18354763624045,11,387.514306668441,-117,83.0417929728826,55.9930117527644,2
650253.154767751,5904404.93165761,602,2018-08-16T05:00:00Z,2018-08-16T04:58:03.106750Z,1534395480,413,31959.5,650253.154767751,5904404.93165761,3.125,5.99722375,9.12151,-0.213908625,3.510806068476,11,388.051779166857,-117,82.149511440595,54.4391457517942,3
650252.534240551,5904403.65439881,603,2018-08-16T05:00:00Z,2018-08-16T04:58:30.855600Z,1534395510,413,31968.5,650252.534240551,5904403.65439881,3.1,5.586449,9.25317,-2.09105707,3.07105000554993,11,388.514260001977,-117,82.9401175697645,55.9470061779022,2
650252.29087346,5904403.85317,604,2018-08-16T05:00:00Z,2018-08-16T04:59:00.854300Z,1534395540,413,31978.5,650252.29087346,5904403.85317,3,5.733545,8.288674,0.0753046,3.47581083632526,11,389.014238333702,-117,82.9461410522461,55.972717722257,2
650249.57029379,5904403.02348701,605,2018-08-16T05:00:00Z,2018-08-16T04:59:31.686111Z,1534395570,413,31988,650249.57029379,5904403.02348701,3,14.5396888888889,20.6185622222222,8.66815011111111,5.96637687295846,11,389.528101849556,-117,84.215973285834,57.3951602101326,2
650250.771634616,5904408.34325091,606,2018-08-16T05:00:00Z,2018-08-16T05:00:01.351444Z,1534395600,413,31997,650250.771634616,5904408.34325091,3,17.3837633333333,13.1941244444444,1.40698722222222,5.38427322853213,11,390.022524066766,-117,82.6853699207306,55.9343598484993,2
650253.052406378,5904406.36465301,607,2018-08-16T05:00:00Z,2018-08-16T05:00:30.850200Z,1534395630,413,32006.5,650253.052406378,5904406.36465301,3,7.731235,9.394413,2.916462,4.39792185321277,11,390.514169998964,-117,81.7528758804003,54.3077674110731,3
650253.105677938,5904406.95514488,608,2018-08-16T05:00:00Z,2018-08-16T05:01:00.848700Z,1534395660,413,32016.5,650253.105677938,5904406.95514488,3,19.333922,12.901897,-1.0862315,4.95639471766678,11,391.014145000776,-117,81.5092430551847,54.2225727836291,3
650255.08409382,5904405.11134459,609,2018-08-16T05:00:00Z,2018-08-16T05:01:30.847400Z,1534395690,413,32026.5,650255.08409382,5904405.11134459,3,15.374956,19.408258,11.05547363,6.15101231758536,11,391.5141233325,-117,81.0618602633476,53.9397665937742,2
650260.629266148,5904403.39829201,610,2018-08-16T05:00:00Z,2018-08-16T05:02:01.679333Z,1534395720,413,32036,650260.629266148,5904403.39829201,3.22222222222222,5.64503888888889,6.99704666666667,1.93830863333333,3.75525514446369,11,392.02798888286,-117,77.2053726871808,47.067651506265,4
