x,y,coordIdx,temp_time,ts,time,id,posID,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,waterlevel,resTime,fpt,revisits
650468.141084421,5903154.31095414,1,2018-08-14T21:50:00Z,2018-08-14T21:50:02.430500Z,1534283400,413,13872.5,650468.141084421,5903154.31095414,3.33333333333333,183.27065,7.88140833333333,9.64876666666667,13.8697302441139,9,0.0405083338419596,83,6.50744173526764,3.38903464873632,4
650453.88172032,5903146.95151695,2,2018-08-14T21:50:00Z,2018-08-14T21:50:27.929333Z,1534283430,413,13878.5,650453.88172032,5903146.95151695,3.16666666666667,235.29075,13.6139533333333,3.63393666666667,15.6640119737776,9,0.465488882859548,83,17.759407277902,9.9380765636762,3
650440.894924586,5903142.74858983,3,2018-08-14T21:50:00Z,2018-08-14T21:50:55.428Z,1534283460,413,13884,650440.894924586,5903142.74858983,3.2,239.4618,6.461046,20.29124,16.6918034509225,9,0.923799999554952,83,32.7102925697962,22.5348899563154,6
650426.213603428,5903139.5663354,4,2018-08-14T21:50:00Z,2018-08-14T21:51:27.676750Z,1534283490,413,13888.5,650426.213603428,5903139.5663354,3.25,254.163055,10.745755,18.12458,15.9414024100417,9,1.46127916574478,83,39.6145642240842,35.2290128032366,9
650411.344544388,5903143.04027417,5,2018-08-14T22:00:00Z,2018-08-14T21:56:07.414Z,1534283760,413,13891.5,650411.344544388,5903143.04027417,3,268.9665,9.3608,23.4693,17.9425599470028,9,6.12356666723887,83,43.408197303613,35.982168396314,9
650423.874927796,5903137.7194417,6,2018-08-14T22:00:00Z,2018-08-14T21:56:34.412500Z,1534283790,413,13894.5,650423.874927796,5903137.7194417,3,361.302,26.680425,-5.076675,19.3913954829114,9,6.57354166507721,83,40.862577132384,36.0546686053276,9
650416.127152807,5903142.19219148,7,2018-08-14T22:00:00Z,2018-08-14T21:56:56.911500Z,1534283820,413,13897.5,650416.127152807,5903142.19219148,3,258.935,7.64076,24.6199,17.7710291872009,9,6.94852499961853,83,42.5186663031578,36.0470765908559,9
650417.062787504,5903140.15384356,8,2018-08-14T22:00:00Z,2018-08-14T21:57:29.010Z,1534283850,413,13901,650417.062787504,5903140.15384356,3,318.8476,15.665308,13.636158,18.8965374035204,9,7.48349999984106,83,42.3230530977249,36.0620694994926,9
650406.506791396,5903141.08702379,9,2018-08-14T22:00:00Z,2018-08-14T21:57:49.409Z,1534283880,413,13904,650406.506791396,5903141.08702379,3,341.979,9.70846,34.6636,20.5186417679144,9,7.82348333199819,83,44.3593183040619,35.9271141330401,11
650403.576396337,5903138.18448714,10,2018-08-14T22:00:00Z,2018-08-14T22:00:58.401Z,1534284060,413,13905,650403.576396337,5903138.18448714,3,259.417,7.44335,26.3636,17.8770117749024,9,10.9733500003815,83,44.9634350816409,35.8967540542285,11
650403.576396337,5903138.18448714,11,2018-08-14T22:00:00Z,2018-08-14T22:04:43.390Z,1534284270,413,13906,650403.576396337,5903138.18448714,3,304.4,6.54128,34.6636,19.5004738403968,9,14.7231666684151,83,44.9634350816409,35.8967540542285,11
650398.866414781,5903135.17605628,12,2018-08-14T22:10:00Z,2018-08-14T22:05:07.389Z,1534284300,413,13907,650398.866414781,5903135.17605628,3,296.149,7.20621,33.1094,19.2243077898789,9,15.1231499989827,82,48.87794769605,35.8167606314023,13
650423.704996013,5903121.18493836,13,2018-08-14T22:10:00Z,2018-08-14T22:08:35.880Z,1534284510,413,13908.5,650423.704996013,5903121.18493836,3,441.0015,53.7647,-57.5974,19.3056977552343,9,18.5980000019074,82,39.2410667816798,35.9788616100947,9
650392.136471596,5903126.70153687,14,2018-08-14T22:10:00Z,2018-08-14T22:12:46.368Z,1534284780,413,13910,650392.136471596,5903126.70153687,3,173.644,4.46069,19.0317,14.7026558825268,9,22.7728000005086,82,53.5480289419492,36.7624915719032,13
650392.136471596,5903126.70153687,15,2018-08-14T22:10:00Z,2018-08-14T22:13:19.367Z,1534284810,413,13911,650392.136471596,5903126.70153687,3,379.759,8.72873,40.2429,21.6557966835672,9,23.32278333505,82,53.5480289419492,36.7624915719032,13
